title,variety,winery,region_1,province,country
Bucci 2014 Villa Bucci Riserva  (Verdicchio dei Castelli di Jesi Classico),Verdicchio,Bucci,Verdicchio dei Castelli di Jesi Classico,Central Italy,Italy
Central Coast Group Project 2013 Fauve Thompson Vineyard Syrah (Santa Barbara County),Syrah,Central Coast Group Project,Santa Barbara County,California,US
Château Tour Grand Faurie 2009  Saint-Émilion,Bordeaux-style Red Blend,Château Tour Grand Faurie,Saint-Émilion,Bordeaux,France
Fess Parker 2015 Pommard Clone Pinot Noir (Sta. Rita Hills),Pinot Noir,Fess Parker,Sta. Rita Hills,California,US
Hecho por Ruben 2014 Syrah (Ballard Canyon),Syrah,Hecho por Ruben,Ballard Canyon,California,US
Iron Horse 2013 Rainbow Cuvée Sparkling (Green Valley),Sparkling Blend,Iron Horse,Green Valley,California,US
J. Portugal Ramos 2014 Marquês de Borba Reserva Red (Alentejo),Portuguese Red,J. Portugal Ramos,,Alentejo,Portugal
Judd's Hill 2014 Charbono (Suisun Valley),Charbono,Judd's Hill,Suisun Valley,California,US
Longboard 2015 Rochioli Vineyard Chardonnay (Russian River Valley),Chardonnay,Longboard,Russian River Valley,California,US
Piro 2015 Points West Pinot Noir (Santa Maria Valley),Pinot Noir,Piro,Santa Maria Valley,California,US
Point & Line 2015 Reserve Pinot Noir (Sta. Rita Hills),Pinot Noir,Point & Line,Sta. Rita Hills,California,US
Secret Spot Wines 2014 Crooked Vines Colheita Red (Douro),Portuguese Red,Secret Spot Wines,,Douro,Portugal
Tantara 2015 La Encantada Pinot Noir (Sta. Rita Hills),Pinot Noir,Tantara,Sta. Rita Hills,California,US
White Hart Wine 2014 Vasthoudend Red (Monterey),Red Blend,White Hart Wine,Monterey,California,US
Artesa 2014 Tempranillo (Alexander Valley),Tempranillo,Artesa,Alexander Valley,California,US
Balletto 2015 Sexton Hill Vineyard Estate Grown Estate Bottled Pinot Noir (Russian River Valley),Pinot Noir,Balletto,Russian River Valley,California,US
Bien Nacido 2014 Pinot Noir (Santa Maria Valley),Pinot Noir,Bien Nacido,Santa Maria Valley,California,US
Bodega de Edgar 2014 Toro de Paso Red (Central Coast),Red Blend,Bodega de Edgar,Central Coast,California,US
Cambria 2015 West Point Chardonnay (Santa Maria Valley),Chardonnay,Cambria,Santa Maria Valley,California,US
Agricoltori del Chianti Geografico 2007 Geografico  (Chianti Classico),Sangiovese,Agricoltori del Chianti Geografico,Chianti Classico,Tuscany,Italy
Barrière Frères 2006 Jacques Sans Souci  (Bordeaux),Bordeaux-style Red Blend,Barrière Frères,Bordeaux,Bordeaux,France
Castellare di Castellina 2005 Riserva  (Chianti Classico),Sangiovese,Castellare di Castellina,Chianti Classico,Tuscany,Italy
Château la Grande Barthe 2003  Montagne-Saint-Émilion,Bordeaux-style Red Blend,Château la Grande Barthe,Montagne-Saint-Émilion,Bordeaux,France
Chateau Ste. Michelle 2007 Chardonnay (Columbia Valley (WA)),Chardonnay,Chateau Ste. Michelle,Columbia Valley (WA),Washington,US
Danie de Wet 2008 Limestone Hill Chardonnay (Robertson),Chardonnay,Danie de Wet,,Robertson,South Africa
Dr. Wehrheim 2007 Buntsandstein Weisser Burgunder Kabinett Trocken Pinot Blanc (Pfalz),Pinot Blanc,Dr. Wehrheim,,Pfalz,Germany
Erba 2005 Mountainside Vineyards Proprietary Red Wine Red (Napa Valley),Bordeaux-style Red Blend,Erba,Napa Valley,California,US
Mulderbosch 2006 Noble Late Harvest Sauvignon Blanc (Stellenbosch),Sauvignon Blanc,Mulderbosch,,Stellenbosch,South Africa
Provenance Vineyards 2005 Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Provenance Vineyards,Rutherford,California,US
Rietvallei Estate Wine 2008 Sauvignon Blanc (Robertson),Sauvignon Blanc,Rietvallei Estate Wine,,Robertson,South Africa
Sol Duc 2005 Goose Ridge Estate Vineyard Meritage Red Wine Red (Columbia Valley (WA)),Red Blend,Sol Duc,Columbia Valley (WA),Washington,US
Horan Estates 2005 HVH Red Blend Red (Columbia Valley (WA)),Red Blend,Horan Estates,Columbia Valley (WA),Washington,US
Lamole di Lamole 2005 Riserva  (Chianti Classico),Sangiovese,Lamole di Lamole,Chianti Classico,Tuscany,Italy
Leo 2007 X-treme Riesling (Pfalz),Riesling,Leo,,Pfalz,Germany
Villa Wolf 2007 Silvaner (Pfalz),Silvaner,Villa Wolf,,Pfalz,Germany
Washington Hills 2006 Chardonnay (Washington),Chardonnay,Washington Hills,Washington,Washington,US
Washington Hills 2007 Summit Reserve Chardonnay (Columbia Valley (WA)),Chardonnay,Washington Hills,Columbia Valley (WA),Washington,US
Guardian Peak 2007 Merlot (Stellenbosch),Merlot,Guardian Peak,,Stellenbosch,South Africa
Bell 2005 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Bell,Napa Valley,California,US
Cameron Hughes 2004 Lot 93  (Rioja),Tempranillo,Cameron Hughes,Rioja,Northern Spain,Spain
Caparzo 2004 Vigna La Casa  (Brunello di Montalcino),Sangiovese Grosso,Caparzo,Brunello di Montalcino,Tuscany,Italy
Venta Morales 2010 Tempranillo (La Mancha),Tempranillo,Venta Morales,La Mancha,Central Spain,Spain
Firriato 2010 Santagostino Baglio Sorìa White (Sicilia),White Blend,Firriato,Sicilia,Sicily & Sardinia,Italy
Fondo Antico 2009 I Versi Red (Sicilia),Red Blend,Fondo Antico,Sicilia,Sicily & Sardinia,Italy
Hannah Nicole Vineyards 2010 Viognier (Contra Costa County),Viognier,Hannah Nicole Vineyards,Contra Costa County,California,US
Hosmer 2010 Riesling (Cayuga Lake),Riesling,Hosmer,Cayuga Lake,New York,US
Ancient Oak Cellars 2007 Siebert Ranch Pinot Noir (Russian River Valley),Pinot Noir,Ancient Oak Cellars,Russian River Valley,California,US
Barkan 2010 Classic Merlot-Argaman (Dan),Merlot-Argaman,Barkan,,Dan,Israel
Black Star Farms 2010 Arcturos Riesling (Michigan),Riesling,Black Star Farms,Michigan,Michigan,US
Cosentino 2007 The Franc Cabernet Franc (California),Cabernet Franc,Cosentino,California,California,US
Cusumano 2010 Insolia (Sicilia),Insolia,Cusumano,Sicilia,Sicily & Sardinia,Italy
Lusco 2010 Albariño (Rías Baixas),Albariño,Lusco,Rías Baixas,Galicia,Spain
Markham 2008 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Markham,Napa Valley,California,US
Michael David 2009 Earthquake Petite Sirah (Lodi),Petite Sirah,Michael David,Lodi,California,US
Maggiovini 2008 Pithoi Nero d'Avola (Sicilia),Nero d'Avola,Maggiovini,Sicilia,Sicily & Sardinia,Italy
La Merika 2010 Chardonnay (Russian River Valley),Chardonnay,La Merika,Russian River Valley,California,US
Masseria del Feudo Grottarossa 2009 Haermosa Chardonnay (Sicilia),Chardonnay,Masseria del Feudo Grottarossa,Sicilia,Sicily & Sardinia,Italy
Napa Family Vineyards 2010 Merlot (Napa Valley),Merlot,Napa Family Vineyards,Napa Valley,California,US
Petroni 2007 Estate Grown Cabernet Sauvignon (Sonoma Valley),Cabernet Sauvignon,Petroni,Sonoma Valley,California,US
Petroni 2010 Estate Grown Sauvignon Blanc (Sonoma Valley),Sauvignon Blanc,Petroni,Sonoma Valley,California,US
Resonata 2010 Nero d'Avola (Sicilia),Nero d'Avola,Resonata,Sicilia,Sicily & Sardinia,Italy
Aveleda 2010 Praia White (Vinho Verde),Portuguese White,Aveleda,,Vinho Verde,Portugal
Bodegas Fontana 2010 Mesta Tempranillo (Uclés),Tempranillo,Bodegas Fontana,Uclés,Central Spain,Spain
Bodegas Peñafiel 2006 Miros de Ribera Crianza  (Ribera del Duero),Tempranillo,Bodegas Peñafiel,Ribera del Duero,Northern Spain,Spain
Brotherhood 2010 Riesling (New York),Riesling,Brotherhood,New York,New York,US
Calatrasi 2010 Terrale Oro Nero d'Avola (Sicilia),Nero d'Avola,Calatrasi,Sicilia,Sicily & Sardinia,Italy
Cave de Lugny 2010 L'Aurore  (Mâcon-Villages),Chardonnay,Cave de Lugny,Mâcon-Villages,Burgundy,France
Dashwood 2009 Pinot Noir (Marlborough),Pinot Noir,Dashwood,,Marlborough,New Zealand
Feudi di San Gregorio 2014  Greco di Tufo,Greco,Feudi di San Gregorio,Greco di Tufo,Southern Italy,Italy
Ghost Waltz 2012 Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,Ghost Waltz,Sonoma County,California,US
Griesbauerhof 2013 St. Magdalener Classico Red (Alto Adige),Red Blend,Griesbauerhof,Alto Adige,Northeastern Italy,Italy
Gustav Adolf Schmitt 2012 Niersteiner Auflangen Spätlese Riesling (Rheinhessen),Riesling,Gustav Adolf Schmitt,,Rheinhessen,Germany
Cantina Produttori San Michele Appiano 2011 Sanct Valentin Pinot Nero (Alto Adige),Pinot Nero,Cantina Produttori San Michele Appiano,Alto Adige,Northeastern Italy,Italy
Cantina Terlano 2013 Pinot Nero (Alto Adige),Pinot Nero,Cantina Terlano,Alto Adige,Northeastern Italy,Italy
Cembra 2013 Sauvignon (Trentino),Sauvignon,Cembra,Trentino,Northeastern Italy,Italy
Cliff Lede 2012 Cabernet Sauvignon (Stags Leap District),Cabernet Sauvignon,Cliff Lede,Stags Leap District,California,US
Clos Figueras 2013 Serras del Priorat Red (Priorat),Red Blend,Clos Figueras,Priorat,Catalonia,Spain
Consilience 2013 Chardonnay (Santa Barbara County),Chardonnay,Consilience,Santa Barbara County,California,US
Domaines Landron 2013 La Louvetrie Sur Lie  (Muscadet Sèvre et Maine),Melon,Domaines Landron,Muscadet Sèvre et Maine,Loire Valley,France
Cave du Vin Blanc de Morgex et de la Salle 2013 Tradizionale Blanc de Morgex et de La Salle Prié Blanc (Valle d'Aosta),Prié Blanc,Cave du Vin Blanc de Morgex et de la Salle,Valle d'Aosta,Northwestern Italy,Italy
Cedar Creek 2011 Estate Grown Syrah (Fair Play),Syrah,Cedar Creek,Fair Play,California,US
Colterenzio 2011 Cornell Villa Nigra Pinot Nero (Alto Adige),Pinot Nero,Colterenzio,Alto Adige,Northeastern Italy,Italy
Demetria 2012 Chardonnay (Santa Barbara County),Chardonnay,Demetria,Santa Barbara County,California,US
Domaine de l'Ermitage 2013  Menetou-Salon,Sauvignon Blanc,Domaine de l'Ermitage,Menetou-Salon,Loire Valley,France
Domaine de Rome 2013  Sancerre,Sauvignon Blanc,Domaine de Rome,Sancerre,Loire Valley,France
Domdechant Werner 2013 Hochheimer Hölle Kabinett Trocken Riesling (Rheingau),Riesling,Domdechant Werner,,Rheingau,Germany
Dr. Fischer 2013 Ockfener Bockstein Kabinett Riesling (Mosel),Riesling,Dr. Fischer,,Mosel,Germany
Osborne NV Cream Sherry (Jerez),Sherry,Osborne,Jerez,Andalucia,Spain
Pinord 2007 Chateldon Reserva Cabernet Sauvignon (Penedès),Cabernet Sauvignon,Pinord,Penedès,Catalonia,Spain
Purple Hands 2013 Holstein Vineyard Pinot Noir (Dundee Hills),Pinot Noir,Purple Hands,Dundee Hills,Oregon,US
Quintas de Melgaço 2014 Torre de Menagem Escolha White (Vinho Verde),Portuguese White,Quintas de Melgaço,,Vinho Verde,Portugal
Rosenblum 2011 Monte Rosso Vineyard Zinfandel (Sonoma Valley),Zinfandel,Rosenblum,Sonoma Valley,California,US
Still Waters 2010 Reflections of Still Waters Red (Paso Robles),Bordeaux-style Red Blend,Still Waters,Paso Robles,California,US
Summers 2013 Stuhlmuller Vineyards Reserve Chardonnay (Alexander Valley),Chardonnay,Summers,Alexander Valley,California,US
Tenuta Peter Sölva & Söhne 2013 I Vigneti Pinot Nero (Alto Adige),Pinot Nero,Tenuta Peter Sölva & Söhne,Alto Adige,Northeastern Italy,Italy
Terra Valentine 2012 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Terra Valentine,Napa Valley,California,US
Tiefenbrunner 2011 Linticlarus Riserva Pinot Nero (Alto Adige),Pinot Nero,Tiefenbrunner,Alto Adige,Northeastern Italy,Italy
Tramin 2013 Pinot Nero (Alto Adige),Pinot Nero,Tramin,Alto Adige,Northeastern Italy,Italy
Vesevo 2016  Greco di Tufo,Greco,Vesevo,Greco di Tufo,Southern Italy,Italy
Viszlay Vineyards 2013 Estate Petite Sirah (Russian River Valley),Petite Sirah,Viszlay Vineyards,Russian River Valley,California,US
Viszlay Vineyards 2013 Winemaker's Reserve Estate Cabernet Sauvignon (Russian River Valley),Cabernet Sauvignon,Viszlay Vineyards,Russian River Valley,California,US
Yealands 2016 Single Vineyard Sauvignon Blanc (Awatere Valley),Sauvignon Blanc,Yealands,,Awatere Valley,New Zealand
Zahel 2016 White (Wiener Gemischter Satz),White Blend,Zahel,,Wiener Gemischter Satz,Austria
Albet I Noya 2013 Brut Natural Reserva Sparkling (Penedès),Sparkling Blend,Albet I Noya,Penedès,Catalonia,Spain
Allram 2016 Strassertaler Grüner Veltliner (Kamptal),Grüner Veltliner,Allram,,Kamptal,Austria
Alta Alella 2013 Privat Gran Reserva Brut Nature Sparkling (Cava),Sparkling Blend,Alta Alella,Cava,Catalonia,Spain
Ampelos 2013 Ampelos Vineyard Syrah (Sta. Rita Hills),Syrah,Ampelos,Sta. Rita Hills,California,US
Ascencion 2014 Mayhem Syrah (Paso Robles),Syrah,Ascencion,Paso Robles,California,US
Baigorri 2015 Blanco Fermentado en Barrica Viura (Rioja),Viura,Baigorri,Rioja,Northern Spain,Spain
Carrick 2015 Bannockburn Chardonnay (Central Otago),Chardonnay,Carrick,,Central Otago,New Zealand
Challen 2014 Scarlett Pinot Noir (Sta. Rita Hills),Pinot Noir,Challen,Sta. Rita Hills,California,US
Château Coutinel 2015 Red (Fronton),Red Blend,Château Coutinel,Fronton,Southwest France,France
Château Grand Boise 2015 Red (Côtes de Provence Sainte-Victoire),Provence red blend,Château Grand Boise,Côtes de Provence Sainte-Victoire,Provence,France
Château le Payral 2015 Red (Bergerac),Bordeaux-style Red Blend,Château le Payral,Bergerac,Southwest France,France
Clos Fardet 2013 Tannat (Madiran),Tannat,Clos Fardet,Madiran,Southwest France,France
Crux 2013 Syrah (Russian River Valley),Syrah,Crux,Russian River Valley,California,US
Damiani 2015 Little Lotus Flower Sauvignon Blanc (Finger Lakes),Sauvignon Blanc,Damiani,Finger Lakes,New York,US
Damiani 2016 Dry Rosé (Finger Lakes),Rosé,Damiani,Finger Lakes,New York,US
Davis Family 2014 Throne G-S-M (Russian River Valley),G-S-M,Davis Family,Russian River Valley,California,US
Di Meo 2016  Greco di Tufo,Greco,Di Meo,Greco di Tufo,Southern Italy,Italy
Domaine Clos Gautier 2016 Oser Rosé (Côtes de Provence),Rosé,Domaine Clos Gautier,Côtes de Provence,Provence,France
Domaine Harmonie des Arpents 2016 Rosé (Coteaux Varois en Provence),Rosé,Domaine Harmonie des Arpents,Coteaux Varois en Provence,Provence,France
Domaine Sainte-Marie 2016 Paparazzi Rosé (Côtes de Provence),Rosé,Domaine Sainte-Marie,Côtes de Provence,Provence,France
Domäne Wachau 2016 Terrassen Federspiel Grüner Veltliner (Wachau),Grüner Veltliner,Domäne Wachau,,Wachau,Austria
Doren 2014 Cabernet Sauvignon (Sonoma Valley),Cabernet Sauvignon,Doren,Sonoma Valley,California,US
Écluse 2014 Rendition Red (Paso Robles),Rhône-style Red Blend,Écluse,Paso Robles,California,US
Feudo Montoni 2016 della Timpa Grillo (Sicilia),Grillo,Feudo Montoni,Sicilia,Sicily & Sardinia,Italy
Grizzly Peak 2015 Viognier (Rogue Valley),Viognier,Grizzly Peak,Rogue Valley,Oregon,US
Tilia 2011 Bonarda (Mendoza),Bonarda,Tilia,Mendoza,Mendoza Province,Argentina
Villa Mottura 2011 Le Pitre Rosato (Salento),Rosato,Villa Mottura,Salento,Southern Italy,Italy
14 Hands 2010 Riesling (Washington),Riesling,14 Hands,Washington,Washington,US
Barraco 2010 Zibibbo (Sicilia),Zibibbo,Barraco,Sicilia,Sicily & Sardinia,Italy
Capolino Perlingieri 2011 Preta Falanghina (Sannio),Falanghina,Capolino Perlingieri,Sannio,Southern Italy,Italy
Château Bois Noir 2009  Bordeaux Supérieur,Bordeaux-style Red Blend,Château Bois Noir,Bordeaux Supérieur,Bordeaux,France
Château du Moulin Rouge 2010  Haut-Médoc,Bordeaux-style Red Blend,Château du Moulin Rouge,Haut-Médoc,Bordeaux,France
Chateau le Grand Verdus 2011 Rosé (Bordeaux Rosé),Rosé,Chateau le Grand Verdus,Bordeaux Rosé,Bordeaux,France
Dark Hundred 2011 Red (California),Red Blend,Dark Hundred,California,California,US
Flying Trout 2010 Cutthroat Red Red (Columbia Valley (WA)),Red Blend,Flying Trout,Columbia Valley (WA),Washington,US
Horeau-Beylot 2009 Château Grand Martinet  (Saint-Émilion),Bordeaux-style Red Blend,Horeau-Beylot,Saint-Émilion,Bordeaux,France
Bodegas Artazu 2008 Santa Cruz de Artazu Garnacha (Navarra),Garnacha,Bodegas Artazu,Navarra,Northern Spain,Spain
Burgo Viejo 2011 Tinto  (Rioja),Tempranillo Blend,Burgo Viejo,Rioja,Northern Spain,Spain
Toad Hollow 2010 Goldie's Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Toad Hollow,Russian River Valley,California,US
Penumbra 2010 Petite Sirah (North Coast),Petite Sirah,Penumbra,North Coast,California,US
Stemmari 2011 Grillo (Sicilia),Grillo,Stemmari,Sicilia,Sicily & Sardinia,Italy
Tablas Creek 2011 Côtes de Tablas Blanc White (Paso Robles),Rhône-style White Blend,Tablas Creek,Paso Robles,California,US
Torre Quarto 2009 Sangue Blu Negroamaro (Puglia),Negroamaro,Torre Quarto,Puglia,Southern Italy,Italy
Château de Ferrand 2008  Saint-Émilion,Bordeaux-style Red Blend,Château de Ferrand,Saint-Émilion,Bordeaux,France
Saint André de Figuière 2007 Magali Rosé (Côtes de Provence),Rosé,Saint André de Figuière,Côtes de Provence,Provence,France
Santa Alicia 2006 Reserve Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Santa Alicia,,Maipo Valley,Chile
Château d'Esclans 2006 Rosé (Côtes de Provence),Rosé,Château d'Esclans,Côtes de Provence,Provence,France
Gainey 2006 Chardonnay (Sta. Rita Hills),Chardonnay,Gainey,Sta. Rita Hills,California,US
Banear 2006 Mamàn White (Delle Venezie),White Blend,Banear,Delle Venezie,Northeastern Italy,Italy
Bonterra 2007 Rosé (Mendocino County),Rosé,Bonterra,Mendocino County,California,US
Chaddsford 2005 Syrah (Pennsylvania),Syrah,Chaddsford,Pennsylvania,Pennsylvania,US
Di Lenardo 2007 Vigneto Vigne dai Vieris Pinot Bianco (Venezia Giulia),Pinot Bianco,Di Lenardo,Venezia Giulia,Northeastern Italy,Italy
Lava Cap 2005 Reserve Zinfandel (El Dorado),Zinfandel,Lava Cap,El Dorado,California,US
Lavender Ridge 2006 Mourvèdre (Sierra Foothills),Mourvèdre,Lavender Ridge,Sierra Foothills,California,US
Mas de la Dame 2007 Rosé du Mas Rosé (Les Baux de Provence),Rosé,Mas de la Dame,Les Baux de Provence,Provence,France
Montevina 2005 Terra d'Oro Syrah (Amador County),Syrah,Montevina,Amador County,California,US
Quinta de Ventozelo 2007 Cister da Ribeira White (Douro),Portuguese White,Quinta de Ventozelo,,Douro,Portugal
Substance 2006 Cs Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Substance,Columbia Valley (WA),Washington,US
Mas de la Dame 2003 La Stèle Rouge Syrah-Cabernet (Les Baux de Provence),Syrah-Cabernet,Mas de la Dame,Les Baux de Provence,Provence,France
Stevenot 2007 Rosado Rosé (Sierra Foothills),Rosé,Stevenot,Sierra Foothills,California,US
Stonehouse 2006 Tumbas Vineyard Viognier (Shenandoah Valley (CA)),Viognier,Stonehouse,Shenandoah Valley (CA),California,US
TerraMater 2006 Vineyard Reserve Cabernet Sauvignon-Carmenère (Curicó Valley),Cabernet Sauvignon-Carmenère,TerraMater,,Curicó Valley,Chile
Fenestra 2006 Silvaspoons Vineyard Verdelho (Lodi),Verdelho,Fenestra,Lodi,California,US
Renato Keber 2012 Pinot Grigio (Collio),Pinot Grigio,Renato Keber,Collio,Northeastern Italy,Italy
S.A. Prüm 2014 Essence Riesling (Mosel),Riesling,S.A. Prüm,,Mosel,Germany
Schmidt 2011 Malbec (Southern Oregon),Malbec,Schmidt,Southern Oregon,Oregon,US
Tercic 2013 Ribolla Gialla (Collio),Ribolla Gialla,Tercic,Collio,Northeastern Italy,Italy
August Truth 2013 Pinot Noir (Russian River Valley),Pinot Noir,August Truth,Russian River Valley,California,US
Terre Brûlée 2014 Chenin Blanc (Swartland),Chenin Blanc,Terre Brûlée,,Swartland,South Africa
Delaire Graff 2012 Chenin Blanc (Swartland),Chenin Blanc,Delaire Graff,,Swartland,South Africa
Abbazia di Novacella 2014 Müller-Thurgau (Alto Adige Valle Isarco),Müller-Thurgau,Abbazia di Novacella,Alto Adige Valle Isarco,Northeastern Italy,Italy
Apriori 2014 Hicks Family Vineyard Pinot Noir (Santa Cruz Mountains),Pinot Noir,Apriori,Santa Cruz Mountains,California,US
Bernat 2014 Rosé of Nebbiolo (Santa Ynez Valley),Nebbiolo,Bernat,Santa Ynez Valley,California,US
Bodega Norton 2013 Reserva Malbec (Mendoza),Malbec,Bodega Norton,Mendoza,Mendoza Province,Argentina
Bouchaine 2013 Bacchus Collection Estate Vineyard Pinot Meunier (Carneros),Pinot Meunier,Bouchaine,Carneros,California,US
Brys 2012 Estate Grown Cabernet Franc (Old Mission Peninsula),Cabernet Franc,Brys,Old Mission Peninsula,Michigan,US
Bulas 2011 Late Bottled Vintage  (Port),Port,Bulas,,Port,Portugal
C. von Nell-Breuning 2014 Kaseler Dominikaner Riesling (Mosel),Riesling,C. von Nell-Breuning,,Mosel,Germany
Caldaro 2014 Sauvignon (Alto Adige),Sauvignon,Caldaro,Alto Adige,Northeastern Italy,Italy
Casa da Passarella 2012 Somontes Colheita Red (Dão),Portuguese Red,Casa da Passarella,,Dão,Portugal
Chateau Grand Traverse 2012 Reserve Cabernet Franc (Old Mission Peninsula),Cabernet Franc,Chateau Grand Traverse,Old Mission Peninsula,Michigan,US
Colterenzio 2014 Puiten Pinot Grigio (Alto Adige),Pinot Grigio,Colterenzio,Alto Adige,Northeastern Italy,Italy
Manincor 2014 Tannenberg Sauvignon (Alto Adige Terlano),Sauvignon,Manincor,Alto Adige Terlano,Northeastern Italy,Italy
Mario Schiopetto 2013 Pinot Grigio (Collio),Pinot Grigio,Mario Schiopetto,Collio,Northeastern Italy,Italy
Martin Ray 2014 The Tower White (Dry Creek Valley),White Blend,Martin Ray,Dry Creek Valley,California,US
Matchbook 2014 Old Head Chardonnay (Dunnigan Hills),Chardonnay,Matchbook,Dunnigan Hills,California,US
Nals Margreid 2014 Kerner (Alto Adige),Kerner,Nals Margreid,Alto Adige,Northeastern Italy,Italy
Nals Margreid 2014 Sauvignon (Alto Adige),Sauvignon,Nals Margreid,Alto Adige,Northeastern Italy,Italy
Paratus 2012 Cabernet Sauvignon (Mount Veeder),Cabernet Sauvignon,Paratus,Mount Veeder,California,US
Peter Mertes 2014 Platinum Riesling (Mosel),Riesling,Peter Mertes,,Mosel,Germany
Quinta do Vallado 2013 Sousão (Douro),Sousão,Quinta do Vallado,,Douro,Portugal
Quinta dos Murças NV 10 Anos Old Tawny  (Port),Port,Quinta dos Murças,,Port,Portugal
Replica 2014 Pinot Noir (California),Pinot Noir,Replica,California,California,US
Domaine de l'Hermitage 2010 Red (Bandol),Rhône-style Red Blend,Domaine de l'Hermitage,Bandol,Provence,France
Domaine Weinbach 2011 Cuvée Théo Gewurztraminer (Alsace),Gewürztraminer,Domaine Weinbach,Alsace,Alsace,France
Domaines Schlumberger 2007 Spiegel Grand Cru Pinot Gris (Alsace),Pinot Gris,Domaines Schlumberger,Alsace,Alsace,France
Dry Creek Vineyard 2011 Somers Ranch Zinfandel (Dry Creek Valley),Zinfandel,Dry Creek Vineyard,Dry Creek Valley,California,US
Dunham 2010 XVI Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Dunham,Columbia Valley (WA),Washington,US
Tamarack Cellars 2009 Ciel du Cheval Vineyard Reserve Red (Red Mountain),Bordeaux-style Red Blend,Tamarack Cellars,Red Mountain,Washington,US
Tamarack Cellars 2012 Viognier (Columbia Valley (WA)),Viognier,Tamarack Cellars,Columbia Valley (WA),Washington,US
Trimbach 2007 Vendanges Tardives Gewurztraminer (Alsace),Gewürztraminer,Trimbach,Alsace,Alsace,France
Krutzler 2011 Reserve Blaufränkisch (Burgenland),Blaufränkisch,Krutzler,,Burgenland,Austria
Marita's Vineyard 2007 SOMA Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Marita's Vineyard,Napa Valley,California,US
Pamplin 2010 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Pamplin,Columbia Valley (WA),Washington,US
Prieler 2010 Blaufränkisch (Leithaberg),Blaufränkisch,Prieler,,Leithaberg,Austria
Rieflé 2010 Steinert Grand Cru Pinot Gris (Alsace),Pinot Gris,Rieflé,Alsace,Alsace,France
Rieflé 2010 Zinnkoepflé Grand Cru Vendanges Tardives Pinot Gris (Alsace),Pinot Gris,Rieflé,Alsace,Alsace,France
Rocca 2010 Collinetta Vineyard Cabernet Sauvignon (Coombsville),Cabernet Sauvignon,Rocca,Coombsville,California,US
Buty 2010 Columbia Rediviva Phinny Hill Vineyard Red (Horse Heaven Hills),Red Blend,Buty,Horse Heaven Hills,Washington,US
Caldwell 2011 Silver Red (Napa Valley),Bordeaux-style Red Blend,Caldwell,Napa Valley,California,US
Charles Smith 2012 Stoneridge Vineyard Viognier (Columbia Valley (WA)),Viognier,Charles Smith,Columbia Valley (WA),Washington,US
Château Paradis 2010 Terre des Anges Red (Coteaux d'Aix-en-Provence),Red Blend,Château Paradis,Coteaux d'Aix-en-Provence,Provence,France
Château Salettes 2011 Red (Bandol),Rhône-style Red Blend,Château Salettes,Bandol,Provence,France
Kanonkop 2008 Paul Sauer Red (Simonsberg-Stellenbosch),Bordeaux-style Red Blend,Kanonkop,,Simonsberg-Stellenbosch,South Africa
Walla Walla Vintners 2010 Bello Rosso Cabernet Sauvignon-Sangiovese (Columbia Valley (WA)),Cabernet Sauvignon-Sangiovese,Walla Walla Vintners,Columbia Valley (WA),Washington,US
Walla Walla Vintners 2010 Sagemoor Vineyard Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Walla Walla Vintners,Columbia Valley (WA),Washington,US
Domaine de Val d'Arenc 2011 Red (Bandol),Rhône-style Red Blend,Domaine de Val d'Arenc,Bandol,Provence,France
Domäne Wachau 2012 Achleiten Smaragd Grüner Veltliner (Wachau),Grüner Veltliner,Domäne Wachau,,Wachau,Austria
Efeste 2010 Upright Klipsun Vineyard Merlot (Red Mountain),Merlot,Efeste,Red Mountain,Washington,US
Ferrari-Carano 2008 PreVail Back Forty Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Ferrari-Carano,Alexander Valley,California,US
Fritsch 2011 'P' Pinot Noir (Wagram-Donauland),Pinot Noir,Fritsch,,Wagram-Donauland,Austria
Judith Beck 2011 Pannobile Red (Burgenland),Austrian Red Blend,Judith Beck,,Burgenland,Austria
Epoch Estate Wines 2013 Authenticity Red (Paso Robles),Rhône-style Red Blend,Epoch Estate Wines,Paso Robles,California,US
Z. Alexander Brown 2013 Limited Release Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Z. Alexander Brown,Napa Valley,California,US
Alain Brumont 2011 Château Bouscassé Red (Madiran),Red Blend,Alain Brumont,Madiran,Southwest France,France
Alex Gambal 2014 La Maltroie Premier Cru  (Chassagne-Montrachet),Chardonnay,Alex Gambal,Chassagne-Montrachet,Burgundy,France
Alves de Sousa 2013 Abandonado Red (Douro),Portuguese Red,Alves de Sousa,,Douro,Portugal
